UniProt,GeneName,Group,FullName
P30405,PPIF,Non-kinase,Peptidylprolyl isomerase f
O75688,PPM1B,Non-kinase,"Protein phosphatase, mg2+/mn2+ dependent 1b"
O15297,PPM1D,Non-kinase,"Protein phosphatase, mg2+/mn2+ dependent 1d"
O15355,PPM1G,Non-kinase,"Protein phosphatase, mg2+/mn2+ dependent 1g"
Q9Y570,PPME1,Non-kinase,Protein phosphatase methylesterase 1
P62136,PPP1CA,Non-kinase,Protein phosphatase 1 catalytic subunit alpha
P36873,PPP1CC,Non-kinase,Protein phosphatase 1 catalytic subunit gamma
Q13522,PPP1R1A,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 1a
Q9UD71,PPP1R1B,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 1b
Q8WVI7,PPP1R1C,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 1c
P41236,PPP1R2,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 2
Q6NXS1,PPP1R2B,Non-kinase,Ppp1r2 family member b
Q16821,PPP1R3A,Non-kinase,Protein phosphatase 1 regulatory subunit 3a
Q9UQK1,PPP1R3C,Non-kinase,Protein phosphatase 1 regulatory subunit 3c
Q15435,PPP1R7,Non-kinase,Protein phosphatase 1 regulatory subunit 7
Q12972,PPP1R8,Non-kinase,Protein phosphatase 1 regulatory subunit 8
Q9ULJ8,PPP1R9A,Non-kinase,Protein phosphatase 1 regulatory subunit 9a
Q96SB3,PPP1R9B,Non-kinase,Protein phosphatase 1 regulatory subunit 9b
O14974,PPP1R12A,Non-kinase,Protein phosphatase 1 regulatory subunit 12a
O60237,PPP1R12B,Non-kinase,Protein phosphatase 1 regulatory subunit 12b
Q9BZL4,PPP1R12C,Non-kinase,Protein phosphatase 1 regulatory subunit 12c
Q8WUF5,PPP1R13L,Non-kinase,Protein phosphatase 1 regulatory subunit 13 like
Q96A00,PPP1R14A,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 14a
Q96C90,PPP1R14B,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 14b
Q8TAE6,PPP1R14C,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 14c
Q9NXH3,PPP1R14D,Non-kinase,Protein phosphatase 1 regulatory inhibitor subunit 14d
Q96T49,PPP1R16B,Non-kinase,Protein phosphatase 1 regulatory subunit 16b
O96001,PPP1R17,Non-kinase,Protein phosphatase 1 regulatory subunit 17
Q5T8A7,PPP1R26,Non-kinase,Protein phosphatase 1 regulatory subunit 26
Q8TAP8,PPP1R35,Non-kinase,Protein phosphatase 1 regulatory subunit 35
P67775,PPP2CA,Non-kinase,Protein phosphatase 2 catalytic subunit alpha
Q00005,PPP2R2B,Non-kinase,Protein phosphatase 2 regulatory subunit bbeta
Q15172,PPP2R5A,Non-kinase,Protein phosphatase 2 regulatory subunit b'alpha
Q13362,PPP2R5C,Non-kinase,Protein phosphatase 2 regulatory subunit b'gamma
Q14738,PPP2R5D,Non-kinase,Protein phosphatase 2 regulatory subunit b'delta
P53041,PPP5C,Non-kinase,Protein phosphatase 5 catalytic subunit
O75170,PPP6R2,Non-kinase,Protein phosphatase 6 regulatory subunit 2
O60828,PQBP1,Non-kinase,Polyglutamine binding protein 1
O43663,PRC1,Non-kinase,Protein regulator of cytokinesis 1
Q06830,PRDX1,Non-kinase,Peroxiredoxin 1
P32119,PRDX2,Non-kinase,Peroxiredoxin 2
P30041,PRDX6,Non-kinase,Peroxiredoxin 6
Q9HCU5,PREB,Non-kinase,Prolactin regulatory element binding
Q8TCU6,PREX1,Non-kinase,"Phosphatidylinositol-3,4,5-trisphosphate dependent rac exchange factor 1"
Q70Z35,PREX2,Non-kinase,"Phosphatidylinositol-3,4,5-trisphosphate dependent rac exchange factor 2"
P02810,PRH1,Non-kinase,Proline rich protein haeiii subfamily 1
P02810,PRH2,Non-kinase,Proline rich protein haeiii subfamily 2
Q13131,PRKAA1,CAMK,Protein kinase amp-activated catalytic subunit alpha 1
P54646,PRKAA2,CAMK,Protein kinase amp-activated catalytic subunit alpha 2
Q9Y478,PRKAB1,Non-kinase,Protein kinase amp-activated non-catalytic subunit beta 1
P17612,PRKACA,AGC,Protein kinase camp-activated catalytic subunit alpha
P22694,PRKACB,AGC,Protein kinase camp-activated catalytic subunit beta
P54619,PRKAG1,Non-kinase,Protein kinase amp-activated non-catalytic subunit gamma 1
P10644,PRKAR1A,Non-kinase,Protein kinase camp-dependent type i regulatory subunit alpha
P31323,PRKAR2B,Non-kinase,Protein kinase camp-dependent type ii regulatory subunit beta
P17252,PRKCA,AGC,Protein kinase c alpha
P05771,PRKCB,AGC,Protein kinase c beta
Q05655,PRKCD,AGC,Protein kinase c delta
Q02156,PRKCE,AGC,Protein kinase c epsilon
P05129,PRKCG,AGC,Protein kinase c gamma
P24723,PRKCH,AGC,Protein kinase c eta
P41743,PRKCI,AGC,Protein kinase c iota
Q04759,PRKCQ,AGC,Protein kinase c theta
Q05513,PRKCZ,AGC,Protein kinase c zeta
Q15139,PRKD1,CAMK,Protein kinase d1
Q9BZL6,PRKD2,CAMK,Protein kinase d2
O94806,PRKD3,CAMK,Protein kinase d3
P78527,PRKDC,Atypical,"Protein kinase, dna-activated, catalytic subunit"
Q13976,PRKG1,AGC,Protein kinase cgmp-dependent 1
Q13237,PRKG2,AGC,Protein kinase cgmp-dependent 2
O60260,PRKN,Non-kinase,Parkin rbr e3 ubiquitin protein ligase
P51817,PRKX,AGC,Protein kinase camp-dependent x-linked catalytic subunit
P01236,PRL,Non-kinase,Prolactin
P16471,PRLR,Non-kinase,Prolactin receptor
O14744,PRMT5,Non-kinase,Protein arginine methyltransferase 5
P04156,PRNP,Non-kinase,Prion protein
O43490,PROM1,Non-kinase,Prominin 1
Q86WR7,PROSER2,Non-kinase,Proline and serine rich 2
O43395,PRPF3,Non-kinase,Pre-mrna processing factor 3
Q13523,PRPF4B,CMGC,Pre-mrna processing factor 4b
Q9UMS4,PRPF19,Non-kinase,Pre-mrna processing factor 19
Q8WWY3,PRPF31,Non-kinase,Pre-mrna processing factor 31
P60891,PRPS1,Non-kinase,Phosphoribosyl pyrophosphate synthetase 1
P11908,PRPS2,Non-kinase,Phosphoribosyl pyrophosphate synthetase 2
P85299,PRR5,Non-kinase,Proline rich 5
P48634,PRRC2A,Non-kinase,Proline rich coiled-coil 2a
Q5JSZ5,PRRC2B,Non-kinase,Proline rich coiled-coil 2b
Q9Y520,PRRC2C,Non-kinase,Proline rich coiled-coil 2c
P49768,PSEN1,Non-kinase,Presenilin 1
P49810,PSEN2,Non-kinase,Presenilin 2
O75475,PSIP1,Non-kinase,Pc4 and srsf1 interacting protein 1
P25788,PSMA3,Non-kinase,Proteasome 20s subunit alpha 3
P28066,PSMA5,Non-kinase,Proteasome 20s subunit alpha 5
O14818,PSMA7,Non-kinase,Proteasome 20s subunit alpha 7
P43686,PSMC4,Non-kinase,"Proteasome 26s subunit, atpase 4"
P62195,PSMC5,Non-kinase,"Proteasome 26s subunit, atpase 5"
Q13200,PSMD2,Non-kinase,"Proteasome 26s subunit ubiquitin receptor, non-atpase 2"
O43242,PSMD3,Non-kinase,"Proteasome 26s subunit, non-atpase 3"
O00231,PSMD11,Non-kinase,"Proteasome 26s subunit, non-atpase 11"
P61289,PSME3,Non-kinase,Proteasome activator subunit 3
O43586,PSTPIP1,Non-kinase,Proline-serine-threonine phosphatase interacting protein 1
P26599,PTBP1,Non-kinase,Polypyrimidine tract binding protein 1
P60484,PTEN,Non-kinase,Phosphatase and tensin homolog
Q15185,PTGES3,Non-kinase,Prostaglandin e synthase 3
P43119,PTGIR,Non-kinase,Prostaglandin i2 receptor
P35354,PTGS2,Non-kinase,Prostaglandin-endoperoxide synthase 2
Q03431,PTH1R,Non-kinase,Parathyroid hormone 1 receptor
P12272,PTHLH,Non-kinase,Parathyroid hormone like hormone
Q05397,PTK2,TK,Protein tyrosine kinase 2
Q14289,PTK2B,TK,Protein tyrosine kinase 2 beta
Q13882,PTK6,TK,Protein tyrosine kinase 6
Q86YD1,PTOV1,Non-kinase,Ptov1 extended at-hook containing adaptor protein
P18031,PTPN1,Non-kinase,Protein tyrosine phosphatase non-receptor type 1
P17706,PTPN2,Non-kinase,Protein tyrosine phosphatase non-receptor type 2
P26045,PTPN3,Non-kinase,Protein tyrosine phosphatase non-receptor type 3
P29350,PTPN6,Non-kinase,Protein tyrosine phosphatase non-receptor type 6
P35236,PTPN7,Non-kinase,Protein tyrosine phosphatase non-receptor type 7
Q06124,PTPN11,Non-kinase,Protein tyrosine phosphatase non-receptor type 11
Q05209,PTPN12,Non-kinase,Protein tyrosine phosphatase non-receptor type 12
Q99952,PTPN18,Non-kinase,Protein tyrosine phosphatase non-receptor type 18
Q9Y2R2,PTPN22,Non-kinase,Protein tyrosine phosphatase non-receptor type 22
P18433,PTPRA,Non-kinase,Protein tyrosine phosphatase receptor type a
P08575,PTPRC,Non-kinase,Protein tyrosine phosphatase receptor type c
Q14761,PTPRCAP,Non-kinase,Protein tyrosine phosphatase receptor type c associated protein
P10586,PTPRF,Non-kinase,Protein tyrosine phosphatase receptor type f
Q12913,PTPRJ,Non-kinase,Protein tyrosine phosphatase receptor type j
Q15256,PTPRR,Non-kinase,Protein tyrosine phosphatase receptor type r
O14522,PTPRT,Non-kinase,Protein tyrosine phosphatase receptor type t
Q9Y3E5,PTRH2,Non-kinase,Peptidyl-trna hydrolase 2
Q03393,PTS,Non-kinase,6-pyruvoyltetrahydropterin synthase
O95997,PTTG1,Non-kinase,"Pttg1 regulator of sister chromatid separation, securin"
P53801,PTTG1IP,Non-kinase,Pttg1 interacting protein
Q9NZH5,PTTG2,Non-kinase,Pituitary tumor-transforming 2
P49023,PXN,Non-kinase,Paxillin
Q9ULZ3,PYCARD,Non-kinase,Pyd and card domain containing
P32322,PYCR1,Non-kinase,Pyrroline-5-carboxylate reductase 1
Q96C36,PYCR2,Non-kinase,Pyrroline-5-carboxylate reductase 2
P11216,PYGB,Non-kinase,Glycogen phosphorylase b
Q9BRQ0,PYGO2,Non-kinase,Pygopus family phd finger 2
Q9BXR0,QTRT1,Non-kinase,Queuine trna-ribosyltransferase catalytic subunit 1
P62820,RAB1A,Non-kinase,"Rab1a, member ras oncogene family"
Q96QF0,RAB3IP,Non-kinase,Rab3a interacting protein
P20338,RAB4A,Non-kinase,"Rab4a, member ras oncogene family"
P20339,RAB5A,Non-kinase,"Rab5a, member ras oncogene family"
P61020,RAB5B,Non-kinase,"Rab5b, member ras oncogene family"
P61006,RAB8A,Non-kinase,"Rab8a, member ras oncogene family"
P61026,RAB10,Non-kinase,"Rab10, member ras oncogene family"
P62491,RAB11A,Non-kinase,"Rab11a, member ras oncogene family"
Q6WKZ4,RAB11FIP1,Non-kinase,Rab11 family interacting protein 1
Q7L804,RAB11FIP2,Non-kinase,Rab11 family interacting protein 2
O75154,RAB11FIP3,Non-kinase,Rab11 family interacting protein 3
Q9BXF6,RAB11FIP5,Non-kinase,Rab11 family interacting protein 5
Q9BZG1,RAB34,Non-kinase,"Rab34, member ras oncogene family"
Q96AX2,RAB37,Non-kinase,"Rab37, member ras oncogene family"
Q15276,RABEP1,Non-kinase,"Rabaptin, rab gtpase binding effector protein 1"
P63000,RAC1,Non-kinase,Rac family small gtpase 1
Q9H0H5,RACGAP1,Non-kinase,Rac gtpase activating protein 1
P63244,RACK1,Non-kinase,Receptor for activated c kinase 1
O60671,RAD1,Non-kinase,Rad1 checkpoint dna exonuclease
Q99638,RAD9A,Non-kinase,Rad9 checkpoint clamp component a
O75943,RAD17,Non-kinase,Rad17 checkpoint clamp loader component
Q9NS91,RAD18,Non-kinase,Rad18 e3 ubiquitin protein ligase
O60216,RAD21,Non-kinase,Rad21 cohesin complex component
Q92878,RAD50,Non-kinase,Rad50 double strand break repair protein
Q06609,RAD51,Non-kinase,Rad51 recombinase
P43351,RAD52,Non-kinase,"Rad52 homolog, dna repair protein"
Q92698,RAD54L,Non-kinase,Rad54 like
P04049,RAF1,TKL,"Raf-1 proto-oncogene, serine/threonine kinase"
P55895,RAG2,Non-kinase,Recombination activating 2
P11233,RALA,Non-kinase,Ras like proto-oncogene a
P11234,RALB,Non-kinase,Ras like proto-oncogene b
Q15311,RALBP1,Non-kinase,Rala binding protein 1
Q2PPJ7,RALGAPA2,Non-kinase,Ral gtpase activating protein catalytic subunit alpha 2
Q9UKM9,RALY,Non-kinase,Raly heterogeneous nuclear ribonucleoprotein
Q9BTL3,RAMAC,Non-kinase,Rna guanine-7 methyltransferase activating subunit
P62826,RAN,Non-kinase,"Ran, member ras oncogene family"
P49792,RANBP2,Non-kinase,Ran binding protein 2
Q9H6Z4,RANBP3,Non-kinase,Ran binding protein 3
Q96S59,RANBP9,Non-kinase,Ran binding protein 9
P46060,RANGAP1,Non-kinase,Ran gtpase activating protein 1
P62834,RAP1A,Non-kinase,"Rap1a, member of ras oncogene family"
P61224,RAP1B,Non-kinase,"Rap1b, member of ras oncogene family"
P47736,RAP1GAP,Non-kinase,Rap1 gtpase activating protein
Q684P5,RAP1GAP2,Non-kinase,Rap1 gtpase activating protein 2
Q13905,RAPGEF1,Non-kinase,Rap guanine nucleotide exchange factor 1
Q9Y4G8,RAPGEF2,Non-kinase,Rap guanine nucleotide exchange factor 2
O95398,RAPGEF3,Non-kinase,Rap guanine nucleotide exchange factor 3
Q70E73,RAPH1,Non-kinase,Ras association (ralgds/af-6) and pleckstrin homology domains 1
P10276,RARA,Non-kinase,Retinoic acid receptor alpha
P13631,RARG,Non-kinase,Retinoic acid receptor gamma
P20936,RASA1,Non-kinase,Ras p21 protein activator 1
Q9UJF2,RASAL2,Non-kinase,Ras protein activator like 2
Q96D21,RASD2,Non-kinase,Rasd family member 2
Q13972,RASGRF1,Non-kinase,Ras protein specific guanine nucleotide releasing factor 1
O14827,RASGRF2,Non-kinase,Ras protein specific guanine nucleotide releasing factor 2
O95267,RASGRP1,Non-kinase,Ras guanyl releasing protein 1
Q7LDG7,RASGRP2,Non-kinase,Ras guanyl releasing protein 2
Q8IV61,RASGRP3,Non-kinase,Ras guanyl releasing protein 3
Q9NS23,RASSF1,Non-kinase,Ras association domain family member 1
Q8IY67,RAVER1,Non-kinase,"Ribonucleoprotein, ptb binding 1"
P06400,RB1,Non-kinase,Rb transcriptional corepressor 1
Q8TDY2,RB1CC1,Non-kinase,Rb1 inducible coiled-coil 1
Q15291,RBBP5,Non-kinase,"Rb binding protein 5, histone lysine methyltransferase complex subunit"
Q16576,RBBP7,Non-kinase,"Rb binding protein 7, chromatin remodeling factor"
Q99708,RBBP8,Non-kinase,"Rb binding protein 8, endonuclease"
P28749,RBL1,Non-kinase,Rb transcriptional corepressor like 1
Q08999,RBL2,Non-kinase,Rb transcriptional corepressor like 2
P98179,RBM3,Non-kinase,Rna binding motif protein 3
Q9BWF3,RBM4,Non-kinase,Rna binding motif protein 4
Q9Y580,RBM7,Non-kinase,Rna binding motif protein 7
Q9Y5S9,RBM8A,Non-kinase,Rna binding motif protein 8a
P98175,RBM10,Non-kinase,Rna binding motif protein 10
Q96PK6,RBM14,Non-kinase,Rna binding motif protein 14
Q96I25,RBM17,Non-kinase,Rna binding motif protein 17
Q5T8P6,RBM26,Non-kinase,Rna binding motif protein 26
Q9P2N5,RBM27,Non-kinase,Rna binding motif protein 27
Q9NW13,RBM28,Non-kinase,Rna binding motif protein 28
Q9H0Z9,RBM38,Non-kinase,Rna binding motif protein 38
Q14498,RBM39,Non-kinase,Rna binding motif protein 39
Q9BTD8,RBM42,Non-kinase,Rna binding motif protein 42
P38159,RBMX,Non-kinase,Rna binding motif protein x-linked
Q96E39,RBMXL1,Non-kinase,Rbmx like 1
Q06330,RBPJ,Non-kinase,Recombination signal binding protein for immunoglobulin kappa j region
Q9H1K0,RBSN,Non-kinase,"Rabenosyn, rab effector"
P53805,RCAN1,Non-kinase,Regulator of calcineurin 1
P18754,RCC1,Non-kinase,Regulator of chromosome condensation 1
Q96PM5,RCHY1,Non-kinase,Ring finger and chy zinc finger domain containing 1
Q6JBY9,RCSD1,Non-kinase,Rcsd domain containing 1
P35241,RDX,Non-kinase,Radixin
O94761,RECQL4,Non-kinase,Recq like helicase 4
O94762,RECQL5,Non-kinase,Recq like helicase 5
Q9H902,REEP1,Non-kinase,Receptor accessory protein 1
Q9BRK0,REEP2,Non-kinase,Receptor accessory protein 2
Q04864,REL,Non-kinase,"Rel proto-oncogene, nf-kb subunit"
Q04206,RELA,Non-kinase,"Rela proto-oncogene, nf-kb subunit"
Q01201,RELB,Non-kinase,"Relb proto-oncogene, nf-kb subunit"
O75628,REM1,Non-kinase,Rrad and gem like gtpase 1
Q96D71,REPS1,Non-kinase,Ralbp1 associated eps domain containing 1
Q8NFH8,REPS2,Non-kinase,Ralbp1 associated eps domain containing 2
Q13127,REST,Non-kinase,Re1 silencing transcription factor
P07949,RET,TK,Ret proto-oncogene
Q9H6L5,RETREG1,Non-kinase,Reticulophagy regulator 1
O60673,REV3L,Non-kinase,"Rev3 like, dna directed polymerase zeta catalytic subunit"
P35251,RFC1,Non-kinase,Replication factor c subunit 1
Q6PCD5,RFWD3,Non-kinase,Ring finger and wd repeat domain 3
P22670,RFX1,Non-kinase,Regulatory factor x1
Q9H4X1,RGCC,Non-kinase,Regulator of cell cycle
A6NKT7,RGPD3,Non-kinase,Ranbp2 like and grip domain containing 3
Q7Z3J3,RGPD4,Non-kinase,Ranbp2 like and grip domain containing 4
Q99666,RGPD5,Non-kinase,Ranbp2 like and grip domain containing 5
Q99666,RGPD6,Non-kinase,Ranbp2 like and grip domain containing 6
O14715,RGPD8,Non-kinase,Ranbp2 like and grip domain containing 8
P41220,RGS2,Non-kinase,Regulator of g protein signaling 2
P49802,RGS7,Non-kinase,Regulator of g protein signaling 7
O43665,RGS10,Non-kinase,Regulator of g protein signaling 10
O14921,RGS13,Non-kinase,Regulator of g protein signaling 13
O43566,RGS14,Non-kinase,Regulator of g protein signaling 14
O15492,RGS16,Non-kinase,Regulator of g protein signaling 16
Q9NS28,RGS18,Non-kinase,Regulator of g protein signaling 18
P49795,RGS19,Non-kinase,Regulator of g protein signaling 19
Q9H310,RHBG,Non-kinase,Rh family b glycoprotein
Q15382,RHEB,Non-kinase,"Ras homolog, mtorc1 binding"
P08100,RHO,Non-kinase,Rhodopsin
P61586,RHOA,Non-kinase,Ras homolog family member a
P62745,RHOB,Non-kinase,Ras homolog family member b
Q8IXI2,RHOT1,Non-kinase,Ras homolog family member t1
Q7L0Q8,RHOU,Non-kinase,Ras homolog family member u
Q6R327,RICTOR,Non-kinase,Rptor independent companion of mtor complex 2
Q5UIP0,RIF1,Non-kinase,Replication timing regulatory factor 1
O95786,RIGI,Non-kinase,Rna sensor rig-i
Q13671,RIN1,Non-kinase,Ras and rab interactor 1
Q9BRS2,RIOK1,Atypical,Rio kinase 1
Q9BVS4,RIOK2,Atypical,Rio kinase 2
O14730,RIOK3,Atypical,Rio kinase 3
Q13546,RIPK1,TKL,Receptor interacting serine/threonine kinase 1
O43353,RIPK2,TKL,Receptor interacting serine/threonine kinase 2
Q9Y572,RIPK3,TKL,Receptor interacting serine/threonine kinase 3
Q92963,RIT1,Non-kinase,Ras like without caax 1
Q96TC7,RMDN3,Non-kinase,Regulator of microtubule dynamics 3
Q96E14,RMI2,Non-kinase,Recq mediated genome instability 2
P61587,RND3,Non-kinase,Rho family gtpase 3
P78317,RNF4,Non-kinase,Ring finger protein 4
Q9UBF6,RNF7,Non-kinase,Ring finger protein 7
Q9Y3C5,RNF11,Non-kinase,Ring finger protein 11
Q5VTR2,RNF20,Non-kinase,Ring finger protein 20
O75150,RNF40,Non-kinase,Ring finger protein 40
Q9H4P4,RNF41,Non-kinase,Ring finger protein 41
Q8WVD3,RNF138,Non-kinase,Ring finger protein 138
O43148,RNMT,Non-kinase,Rna guanine-7 methyltransferase
Q15287,RNPS1,Non-kinase,Rna binding protein with serine rich domain 1
Q9Y6N7,ROBO1,Non-kinase,Roundabout guidance receptor 1
Q96MS0,ROBO3,Non-kinase,Roundabout guidance receptor 3
Q13464,ROCK1,AGC,Rho associated coiled-coil containing protein kinase 1
O75116,ROCK2,AGC,Rho associated coiled-coil containing protein kinase 2
Q01973,ROR1,TK,Receptor tyrosine kinase like orphan receptor 1
P35398,RORA,Non-kinase,Rar related orphan receptor a
P51449,RORC,Non-kinase,Rar related orphan receptor c
P15927,RPA2,Non-kinase,Replication protein a2
Q9H6T3,RPAP3,Non-kinase,Rna polymerase ii associated protein 3
P62424,RPL7A,Non-kinase,Ribosomal protein l7a
P62917,RPL8,Non-kinase,Ribosomal protein l8
P27635,RPL10,Non-kinase,Ribosomal protein l10
P62913,RPL11,Non-kinase,Ribosomal protein l11
P30050,RPL12,Non-kinase,Ribosomal protein l12
P26373,RPL13,Non-kinase,Ribosomal protein l13
P40429,RPL13A,Non-kinase,Ribosomal protein l13a
P84098,RPL19,Non-kinase,Ribosomal protein l19
P46778,RPL21,Non-kinase,Ribosomal protein l21
P05387,RPLP2,Non-kinase,Ribosomal protein lateral stalk subunit p2
Q9NQG5,RPRD1B,Non-kinase,Regulation of nuclear pre-mrna domain containing 1b
P23396,RPS3,Non-kinase,Ribosomal protein s3
P61247,RPS3A,Non-kinase,Ribosomal protein s3a
P62753,RPS6,Non-kinase,Ribosomal protein s6
Q15418,RPS6KA1,AGC,Ribosomal protein s6 kinase a1
Q15349,RPS6KA2,AGC,Ribosomal protein s6 kinase a2
P51812,RPS6KA3,AGC,Ribosomal protein s6 kinase a3
O75676,RPS6KA4,AGC,Ribosomal protein s6 kinase a4
O75582,RPS6KA5,AGC,Ribosomal protein s6 kinase a5
Q9UK32,RPS6KA6,AGC,Ribosomal protein s6 kinase a6
P23443,RPS6KB1,AGC,Ribosomal protein s6 kinase b1
Q9UBS0,RPS6KB2,AGC,Ribosomal protein s6 kinase b2
Q96S38,RPS6KC1,AGC,Ribosomal protein s6 kinase c1
P46783,RPS10,Non-kinase,Ribosomal protein s10
P62280,RPS11,Non-kinase,Ribosomal protein s11
P62841,RPS15,Non-kinase,Ribosomal protein s15
P39019,RPS19,Non-kinase,Ribosomal protein s19
P42677,RPS27,Non-kinase,Ribosomal protein s27
Q71UM5,RPS27L,Non-kinase,Ribosomal protein s27 like
Q8N122,RPTOR,Non-kinase,Regulatory associated protein of mtor complex 1
P55042,RRAD,Non-kinase,"Rrad, ras related glycolysis inhibitor and calcium channel regulator"
Q9HB90,RRAGC,Non-kinase,Ras related gtp binding c
P10301,RRAS,Non-kinase,Ras related
P62070,RRAS2,Non-kinase,Ras related 2
P23921,RRM1,Non-kinase,Ribonucleotide reductase catalytic subunit m1
P31350,RRM2,Non-kinase,Ribonucleotide reductase regulatory subunit m2
Q7LG56,RRM2B,Non-kinase,Ribonucleotide reductase regulatory tp53 inducible subunit m2b
Q9NYV6,RRN3,Non-kinase,"Rrn3 homolog, rna polymerase i transcription factor"
Q5JTH9,RRP12,Non-kinase,Ribosomal rna processing 12 homolog
Q92681,RSC1A1,Non-kinase,Regulator of solute carriers 1
Q96T23,RSF1,Non-kinase,Remodeling and spacing factor 1
O76021,RSL1D1,Non-kinase,Ribosomal l1 domain containing 1
Q86UC2,RSPH3,Non-kinase,Radial spoke head 3
Q9Y3I0,RTCB,Non-kinase,"Rna 2',3'-cyclic phosphate and 5'-oh ligase"
Q9BST9,RTKN,Non-kinase,Rhotekin
Q9NQC3,RTN4,Non-kinase,Reticulon 4
Q9H714,RUBCNL,Non-kinase,Rubicon like autophagy enhancer
Q96T51,RUFY1,Non-kinase,Run and fyve domain containing 1
Q01196,RUNX1,Non-kinase,Runx family transcription factor 1
Q13950,RUNX2,Non-kinase,Runx family transcription factor 2
Q13761,RUNX3,Non-kinase,Runx family transcription factor 3
Q9Y265,RUVBL1,Non-kinase,Ruvb like aaa atpase 1
P19793,RXRA,Non-kinase,Retinoid x receptor alpha
P21817,RYR1,Non-kinase,Ryanodine receptor 1
Q92736,RYR2,Non-kinase,Ryanodine receptor 2
P21453,S1PR1,Non-kinase,Sphingosine-1-phosphate receptor 1
P06702,S100A9,Non-kinase,S100 calcium binding protein a9
Q9Y3Z3,SAMHD1,Non-kinase,Sam and hd domain containing deoxynucleoside triphosphate triphosphohydrolase 1
Q6SZW1,SARM1,Non-kinase,Sterile alpha and tir motif containing 1
P49591,SARS1,Non-kinase,Seryl-trna synthetase 1
O94885,SASH1,Non-kinase,Sam and sh3 domain containing 1
P21673,SAT1,Non-kinase,Spermidine/spermine n1-acetyltransferase 1
Q01826,SATB1,Non-kinase,Satb homeobox 1
Q9H4B6,SAV1,Non-kinase,Salvador family ww domain containing protein 1
Q99590,SCAF11,Non-kinase,Sr-related ctd associated factor 11
O15126,SCAMP1,Non-kinase,Secretory carrier membrane protein 1
O14828,SCAMP3,Non-kinase,Secretory carrier membrane protein 3
O00767,SCD,Non-kinase,Stearoyl-coa desaturase
Q9UQR0,SCML2,Non-kinase,Scm polycomb group protein like 2
Q14524,SCN5A,Non-kinase,Sodium voltage-gated channel alpha subunit 5
Q9UQD0,SCN8A,Non-kinase,Sodium voltage-gated channel alpha subunit 8
Q15858,SCN9A,Non-kinase,Sodium voltage-gated channel alpha subunit 9
P51170,SCNN1G,Non-kinase,Sodium channel epithelial 1 subunit gamma
Q14160,SCRIB,Non-kinase,Scribble planar cell polarity protein
Q96KG9,SCYL1,Other,Scy1 like pseudokinase 1
P18827,SDC1,Non-kinase,Syndecan 1
P34741,SDC2,Non-kinase,Syndecan 2
O75056,SDC3,Non-kinase,Syndecan 3
P31431,SDC4,Non-kinase,Syndecan 4
O00560,SDCBP,Non-kinase,Syndecan binding protein
P31040,SDHA,Non-kinase,Succinate dehydrogenase complex flavoprotein subunit a
O76054,SEC14L2,Non-kinase,Sec14 like lipid binding 2
O15027,SEC16A,Non-kinase,"Sec16 homolog a, endoplasmic reticulum export factor"
Q15436,SEC23A,Non-kinase,"Sec23 homolog a, copii coat complex component"
Q15437,SEC23B,Non-kinase,"Sec23 homolog b, copii coat complex component"
Q9UGP8,SEC63,Non-kinase,"Sec63 homolog, protein translocation regulator"
Q93073,SECISBP2L,Non-kinase,Secis binding protein 2 like
Q9P0U3,SENP1,Non-kinase,Sumo specific peptidase 1
Q9HC62,SENP2,Non-kinase,Sumo specific peptidase 2
Q9H4L4,SENP3,Non-kinase,Sumo specific peptidase 3
Q8WYJ6,SEPTIN1,Non-kinase,Septin 1
Q15019,SEPTIN2,Non-kinase,Septin 2
Q9UH03,SEPTIN3,Non-kinase,Septin 3
Q99719,SEPTIN5,Non-kinase,Septin 5
Q16181,SEPTIN7,Non-kinase,Septin 7
Q92599,SEPTIN8,Non-kinase,Septin 8
Q9UHD8,SEPTIN9,Non-kinase,Septin 9
Q13530,SERINC3,Non-kinase,Serine incorporator 3
Q86VE9,SERINC5,Non-kinase,Serine incorporator 5
P36955,SERPINF1,Non-kinase,Serpin family f member 1
P58004,SESN2,Non-kinase,Sestrin 2
Q01105,SET,Non-kinase,Set nuclear proto-oncogene
Q15047,SETDB1,Non-kinase,Set domain bifurcated histone lysine methyltransferase 1
Q53H47,SETMAR,Non-kinase,Set domain and mariner transposase fusion gene
Q15637,SF1,Non-kinase,Splicing factor 1
O75533,SF3B1,Non-kinase,Splicing factor 3b subunit 1
Q13435,SF3B2,Non-kinase,Splicing factor 3b subunit 2
P31947,SFN,Non-kinase,Stratifin
P23246,SFPQ,Non-kinase,Splicing factor proline and glutamine rich
O00141,SGK1,AGC,Serum/glucocorticoid regulated kinase 1
Q9HBY8,SGK2,AGC,Serum/glucocorticoid regulated kinase 2
Q96BR1,SGK3,AGC,Serum/glucocorticoid regulated kinase family member 3
Q5FBB7,SGO1,Non-kinase,Shugoshin 1
